date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:55	504452/504452	---MCZ	200	added ('OK')	text/html	etag:W/%2210ec6b8bc84f40c3a647ad981017fa88%22	https://onthecard.vn/products/popon-orange-teal	G:/backup/onthecard_v2/onthecard.vn/products/popon-orange-teal.html	(from https://onthecard.vn/)
15:55:58	17050/17050	---M--	200	added ('OK')	image/png	etag:%22767346a7af07d880be1091e566ec8dfd%22	http://product.hstatic.net/200000281647/product/teal__c9ce0dc5fb2b4258bc49b182e72ac854_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/teal__c9ce0dc5fb2b4258bc49b182e72ac854_medium.png	(from https://onthecard.vn/)
15:56:06	48356/48356	---M--	200	added ('OK')	image/png	etag:%22d02fd17608d8a6ec323d62c324ac60bf%22	http://product.hstatic.net/200000281647/product/teal__c9ce0dc5fb2b4258bc49b182e72ac854_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/teal__c9ce0dc5fb2b4258bc49b182e72ac854_large.png	(from https://onthecard.vn/)
15:56:17	68051/68051	---M--	200	added ('OK')	image/png	etag:%227350c85521ffc32f5aec431d6548879c%22	http://product.hstatic.net/200000281647/product/teal__c9ce0dc5fb2b4258bc49b182e72ac854_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/teal__c9ce0dc5fb2b4258bc49b182e72ac854_grande.png	(from https://onthecard.vn/)
15:56:20	15084/15084	---M--	200	added ('OK')	image/png	etag:%22c69b13bc423fec6c2a56ec6e2f943c6f%22	http://product.hstatic.net/200000281647/product/teal2_572cde2c2b384cb4903f18bf392b5665_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/teal2_572cde2c2b384cb4903f18bf392b5665_medium.png	(from https://onthecard.vn/)
15:56:29	55890/55890	---M--	200	added ('OK')	image/png	etag:%2228bbdf526eb439ccefc94bca4693fb83%22	http://product.hstatic.net/200000281647/product/teal2_572cde2c2b384cb4903f18bf392b5665_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/teal2_572cde2c2b384cb4903f18bf392b5665_large.png	(from https://onthecard.vn/)
15:56:44	89303/89303	---M--	200	added ('OK')	image/png	etag:%22788e866bcee42684554cfe562ee00f26%22	http://product.hstatic.net/200000281647/product/teal2_572cde2c2b384cb4903f18bf392b5665_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/teal2_572cde2c2b384cb4903f18bf392b5665_grande.png	(from https://onthecard.vn/)
15:56:53	504483/504483	---MCZ	200	added ('OK')	text/html	etag:W/%228175fe69fcdc49b3aabc1be9db056fce%22	https://onthecard.vn/products/popon-desert	G:/backup/onthecard_v2/onthecard.vn/products/popon-desert.html	(from https://onthecard.vn/)
15:56:56	20093/20093	---M--	200	added ('OK')	image/png	etag:%222438b37bbf6eabef6dc27db52d5143b7%22	http://product.hstatic.net/200000281647/product/desert_99a3c20736924f89881367c50bf96295_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/desert_99a3c20736924f89881367c50bf96295_medium.png	(from https://onthecard.vn/)
15:57:01	1935277/1935277	---M--	200	added ('OK')	image/gif	etag:%227e09f3f5dc9549674d2ef3918edde0d1%22	http://product.hstatic.net/200000281647/product/ezgif.com-gif-maker__74__1398212645c34b10999146a36beb1271_grande.gif	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/ezgif.com-gif-maker__74__1398212645c34b10999146a36beb1271_grande.gif	(from https://onthecard.vn/)
